City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
4,San Policarpo,PH,78.55,overcast clouds,12.1791,125.5072,Agapita M. Nicart
7,Lamu,KE,75.42,overcast clouds,-2.2717,40.902,Lamu House
9,Puerto Escondido,MX,86.83,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
11,Mount Isa,AU,73.17,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
12,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
16,Rikitea,PF,72.03,light rain,-23.1203,-134.9692,People ThankYou
17,Alta Floresta,BR,85.28,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
18,Misratah,LY,71.17,few clouds,32.3754,15.0925,Almasa Hotel
20,Vanimo,PG,77.5,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
21,Butaritari,KI,80.64,broken clouds,3.0707,172.7902,Isles Sunset Lodge
23,Cidreira,BR,71.78,overcast clouds,-30.1811,-50.2056,Hotel Castelo
29,Macia,MZ,73.67,few clouds,-25.0269,33.0989,Hotel Taskin Macia
32,Kapaa,US,80.92,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
33,Santa Fe,AR,97.02,light rain,-31.6333,-60.7,Conquistador Hotel
34,Makakilo City,US,81.61,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
37,Arraial Do Cabo,BR,76.86,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
38,Mbandaka,CD,70.79,light rain,0.0487,18.2603,Guest House Epervier
39,Roura,GF,87.71,clear sky,4.7263,-52.3274,Amazonie Découverte SARL
44,Labuhan,ID,78.26,overcast clouds,-6.8844,112.2051,DoubleFAG
46,Atuona,PF,78.3,broken clouds,-9.8,-139.0333,Villa Enata
47,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
49,Jardim,BR,90.45,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
51,Ponta Do Sol,PT,71.71,broken clouds,32.6667,-17.1,Hotel do Campo
60,Alofi,NU,78.69,few clouds,-19.0595,-169.9187,Taloa Heights
61,Vaini,TO,77.22,broken clouds,-21.2,-175.2,Keleti Beach Resort
63,Buchanan,LR,79.02,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
66,Chuy,UY,74.82,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
68,Yaan,NG,81.79,scattered clouds,7.3833,8.5667,
69,Acarau,BR,81.66,clear sky,-2.8856,-40.12,castelo pizzaria
70,Banjar,ID,77.04,overcast clouds,-8.19,114.9675,The Hamsa Resort
71,Hilo,US,82.62,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
77,Akyab,MM,73.63,clear sky,20.15,92.9,ဟိုတယ် မန်မိုရီ
78,Surt,LY,73.6,few clouds,31.2089,16.5887,فندق المدينة
83,Banda Aceh,ID,78.44,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
93,Puerto Colombia,CO,78.89,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
97,San Cristobal,VE,80.78,broken clouds,7.7669,-72.225,Pirineos
99,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
101,Sokoni,TZ,79.72,scattered clouds,-6.4333,39.55,Ujamaa Beach Resort
102,Rawson,AR,77.29,thunderstorm with light rain,-43.3002,-65.1023,Hosteria Sampedro
108,Martin,US,75.96,scattered clouds,27.0837,-80.4164,
110,Bahia Blanca,AR,83.95,broken clouds,-38.7196,-62.2724,Hotel Argos
114,Maun,BW,75.16,clear sky,-19.9833,23.4167,Enviro Villa
116,Poum,NC,77.72,broken clouds,-20.2333,164.0167,
121,Sambava,MG,73.72,few clouds,-14.2667,50.1667,Melrose
122,Mitsamiouli,KM,78.19,scattered clouds,-11.3847,43.2844,Foyer ADM
126,Hithadhoo,MV,81.12,overcast clouds,-0.6,73.0833,Scoop Guest House
128,Santa Luzia,BR,84.34,few clouds,-19.7697,-43.8514,Pousada Chao Earth
130,Isangel,VU,80.8,few clouds,-19.55,169.2667,Tanna Lodge
131,Neuquen,AR,89.49,scattered clouds,-38.9516,-68.0591,Hotel del Comahue
134,Bengkulu,ID,75.43,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
136,Auki,SB,78.71,overcast clouds,-8.7676,160.7034,Auki Motel
137,Saint-Pierre,RE,71.91,clear sky,-21.3393,55.4781,Alize Plage
140,San-Pedro,CI,78.66,broken clouds,4.7485,-6.6363,Hotel Maria
148,Agua Preta,BR,78.48,overcast clouds,-8.7075,-35.5306,Motel Paraíso
153,Hambantota,LK,77.99,overcast clouds,6.1241,81.1185,Bungalow 63
155,Dingle,PH,75.99,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
156,Tra Vinh,VN,78.04,overcast clouds,9.9347,106.3453,Hồng Ân
157,Nouadhibou,MR,82.38,clear sky,20.931,-17.0347,El Medina
158,Sayula,MX,80.91,clear sky,19.8667,-103.6167,Gran Casa Sayula Hotel Galeria And Spa
159,Batticaloa,LK,73.8,overcast clouds,7.7102,81.6924,Treatooo Hotel
162,Kintampo,GH,76.46,scattered clouds,8.0563,-1.7306,Adomaa Memorial Hotel
164,Sembakung,ID,74.05,overcast clouds,3.8167,117.25,
165,Waingapu,ID,81.03,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
166,Le Port,RE,72.25,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
167,Sao Paulo De Olivenca,BR,77.5,overcast clouds,-3.3783,-68.8725,
169,Vao,NC,75.76,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
172,Birao,CF,74.53,broken clouds,10.2849,22.7882,
174,Lodwar,KE,85.68,clear sky,3.1191,35.5973,Solmar Gracious Hotel
177,Cantaura,VE,81.55,overcast clouds,9.3057,-64.3584,Hotel Lorenzana
179,West Bay,KY,85.06,few clouds,19.3667,-81.4167,Calypso Cove
180,Castro,BR,74.7,clear sky,-24.7911,-50.0119,CHACARA BAILLY
185,Itarema,BR,81.1,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
188,Golfito,CR,81.84,moderate rain,8.639,-83.166,Banana Bay Marina
195,Sao Joao Da Barra,BR,78.89,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
196,Sibu,MY,77.31,light rain,2.3,111.8167,RH HOTEL (4 Star)
197,Menongue,AO,70.72,scattered clouds,-14.6585,17.691,Ritz Lauca
200,Fare,PF,79.18,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
201,Arauco,CL,70.02,overcast clouds,-37.2463,-73.3175,Con vista al mar
206,Bilma,NE,70.83,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
209,Victoria,HK,75.38,clear sky,22.2855,114.1577,Mini Central
211,Mogadishu,SO,79.41,clear sky,2.0371,45.3438,Hotel Juba
212,Inhambane,MZ,76.08,clear sky,-23.865,35.3833,Oceano
214,Maine-Soroa,NE,75.4,broken clouds,13.2114,12.0241,Complexe
216,Urucara,BR,99.63,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
217,Kununurra,AU,78.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
225,Buraydah,SA,72.05,overcast clouds,26.326,43.975,Mövenpick Qassim
229,San Pedro De Uraba,CO,81.52,overcast clouds,8.2752,-76.3764,Hotel La Gran Manzana
232,Porto Novo,BJ,82.22,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
235,Vinh,VN,74.89,broken clouds,18.6667,105.6667,Vuong Hoan 2
236,Kalmunai,LK,72.23,overcast clouds,7.4167,81.8167,VS Villa
238,Biu,NG,73.76,clear sky,10.6129,12.1946,Emir's Palace
