City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Date
0,Hermanus,ZA,-34.4187,19.2345,57.79,63,100,6.31,overcast clouds,2022-11-17 20:12:55
1,Albany,US,42.6001,-73.9662,40.39,63,19,1.99,few clouds,2022-11-17 20:09:57
2,Tignere,CM,7.3667,12.65,68.49,41,71,2.42,broken clouds,2022-11-17 20:21:03
3,Paamiut,GL,61.994,-49.6678,17.08,63,100,2.89,overcast clouds,2022-11-17 20:21:03
4,San Policarpo,PH,12.1791,125.5072,78.55,89,100,6.87,overcast clouds,2022-11-17 20:15:33
5,Mizdah,LY,31.4451,12.9801,62.33,34,7,9.6,clear sky,2022-11-17 20:21:03
6,Port Macquarie,AU,-31.4333,152.9167,57.88,74,0,8.79,clear sky,2022-11-17 20:14:27
7,Lamu,KE,-2.2717,40.902,75.42,86,85,7.25,overcast clouds,2022-11-17 20:21:04
8,Punta Arenas,CL,-53.15,-70.9167,57.31,44,40,26.46,scattered clouds,2022-11-17 20:12:23
9,Puerto Escondido,MX,15.85,-97.0667,86.83,58,20,5.75,few clouds,2022-11-17 20:21:04
10,Busselton,AU,-33.65,115.3333,52.59,82,100,13.65,overcast clouds,2022-11-17 20:15:02
11,Mount Isa,AU,-20.7333,139.5,73.17,40,51,6.91,broken clouds,2022-11-17 20:17:43
12,Kahului,US,20.8947,-156.47,82.42,67,20,9.22,few clouds,2022-11-17 20:16:06
13,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,80,75,13.8,broken clouds,2022-11-17 20:16:28
14,Port Alfred,ZA,-33.5906,26.891,63.18,94,100,7.09,overcast clouds,2022-11-17 20:13:05
15,Kerchevskiy,RU,59.946,56.2884,6.12,95,15,2.62,few clouds,2022-11-17 20:21:05
16,Rikitea,PF,-23.1203,-134.9692,72.03,87,100,3.58,light rain,2022-11-17 20:12:54
17,Alta Floresta,BR,-9.8756,-56.0861,85.28,56,94,3.98,overcast clouds,2022-11-17 20:15:07
18,Misratah,LY,32.3754,15.0925,71.17,68,12,4.54,few clouds,2022-11-17 20:21:05
19,Cape Town,ZA,-33.9258,18.4232,63.12,68,100,8.99,overcast clouds,2022-11-17 20:14:57
